att_x_corr,N,hypothesis,power,n_significant,n_valid,n_sims,alpha
0.2,80,H4_attestation:correctness:stakes,0.06,60,1000,1000,0.05
0.2,100,H1_attestation,1.0,1000,1000,1000,0.05
0.2,100,H2_attestation:correctness,0.63,630,1000,1000,0.05
0.2,100,H4_attestation:correctness:stakes,0.061,61,1000,1000,0.05
0.2,120,H1_attestation,1.0,1000,1000,1000,0.05
0.2,120,H2_attestation:correctness,0.735,735,1000,1000,0.05
0.2,120,H4_attestation:correctness:stakes,0.074,74,1000,1000,0.05
0.2,140,H1_attestation,1.0,1000,1000,1000,0.05
0.2,140,H2_attestation:correctness,0.802,802,1000,1000,0.05
0.2,140,H4_attestation:correctness:stakes,0.087,87,1000,1000,0.05
0.2,160,H1_attestation,1.0,1000,1000,1000,0.05
0.2,160,H2_attestation:correctness,0.857,857,1000,1000,0.05
0.2,160,H4_attestation:correctness:stakes,0.095,95,1000,1000,0.05
0.2,180,H1_attestation,1.0,1000,1000,1000,0.05
0.2,180,H2_attestation:correctness,0.882,882,1000,1000,0.05
0.2,180,H4_attestation:correctness:stakes,0.121,121,1000,1000,0.05
0.2,200,H1_attestation,1.0,1000,1000,1000,0.05
0.2,200,H2_attestation:correctness,0.92,920,1000,1000,0.05
0.2,200,H4_attestation:correctness:stakes,0.141,141,1000,1000,0.05
0.2,240,H1_attestation,1.0,1000,1000,1000,0.05
0.2,240,H2_attestation:correctness,0.966,966,1000,1000,0.05
0.2,240,H4_attestation:correctness:stakes,0.179,179,1000,1000,0.05
0.2,280,H1_attestation,1.0,1000,1000,1000,0.05
0.2,280,H2_attestation:correctness,0.993,993,1000,1000,0.05
0.2,280,H4_attestation:correctness:stakes,0.225,225,1000,1000,0.05
0.2,320,H1_attestation,1.0,1000,1000,1000,0.05
0.2,320,H2_attestation:correctness,0.989,989,1000,1000,0.05
0.2,320,H4_attestation:correctness:stakes,0.279,279,1000,1000,0.05
0.2,400,H1_attestation,1.0,1000,1000,1000,0.05
0.2,400,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.2,400,H4_attestation:correctness:stakes,0.338,338,1000,1000,0.05
0.2,500,H1_attestation,1.0,1000,1000,1000,0.05
0.2,500,H2_attestation:correctness,0.999,999,1000,1000,0.05
0.2,500,H4_attestation:correctness:stakes,0.435,435,1000,1000,0.05
0.25,60,H1_attestation,1.0,1000,1000,1000,0.05
0.25,60,H2_attestation:correctness,0.592,592,1000,1000,0.05
0.25,60,H4_attestation:correctness:stakes,0.048,48,1000,1000,0.05
0.25,80,H1_attestation,1.0,1000,1000,1000,0.05
0.25,80,H2_attestation:correctness,0.741,741,1000,1000,0.05
0.25,80,H4_attestation:correctness:stakes,0.048,48,1000,1000,0.05
0.25,100,H1_attestation,1.0,1000,1000,1000,0.05
0.25,100,H2_attestation:correctness,0.851,851,1000,1000,0.05
0.25,100,H4_attestation:correctness:stakes,0.084,84,1000,1000,0.05
0.25,120,H1_attestation,1.0,1000,1000,1000,0.05
0.25,120,H2_attestation:correctness,0.919,919,1000,1000,0.05
0.25,120,H4_attestation:correctness:stakes,0.086,86,1000,1000,0.05
0.25,140,H1_attestation,1.0,1000,1000,1000,0.05
0.25,140,H2_attestation:correctness,0.955,955,1000,1000,0.05
0.25,140,H4_attestation:correctness:stakes,0.103,103,1000,1000,0.05
0.25,160,H1_attestation,1.0,1000,1000,1000,0.05
0.25,160,H2_attestation:correctness,0.973,973,1000,1000,0.05
0.25,160,H4_attestation:correctness:stakes,0.125,125,1000,1000,0.05
0.25,180,H1_attestation,1.0,1000,1000,1000,0.05
0.25,180,H2_attestation:correctness,0.99,990,1000,1000,0.05
0.25,180,H4_attestation:correctness:stakes,0.137,137,1000,1000,0.05
0.25,200,H1_attestation,1.0,1000,1000,1000,0.05
0.25,200,H2_attestation:correctness,0.992,992,1000,1000,0.05
0.25,200,H4_attestation:correctness:stakes,0.131,131,1000,1000,0.05
0.25,240,H1_attestation,1.0,1000,1000,1000,0.05
0.25,240,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.25,240,H4_attestation:correctness:stakes,0.176,176,1000,1000,0.05
0.25,280,H1_attestation,1.0,1000,1000,1000,0.05
0.25,280,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.25,280,H4_attestation:correctness:stakes,0.203,203,1000,1000,0.05
0.25,320,H1_attestation,1.0,1000,1000,1000,0.05
0.25,320,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.25,320,H4_attestation:correctness:stakes,0.242,242,1000,1000,0.05
0.25,400,H1_attestation,1.0,1000,1000,1000,0.05
0.25,400,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.25,400,H4_attestation:correctness:stakes,0.321,321,1000,1000,0.05
0.25,500,H1_attestation,1.0,1000,1000,1000,0.05
0.25,500,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.25,500,H4_attestation:correctness:stakes,0.432,432,1000,1000,0.05
0.3,60,H1_attestation,1.0,1000,1000,1000,0.05
0.3,60,H2_attestation:correctness,0.794,794,1000,1000,0.05
0.3,60,H4_attestation:correctness:stakes,0.025,25,1000,1000,0.05
0.3,80,H1_attestation,1.0,1000,1000,1000,0.05
0.3,80,H2_attestation:correctness,0.891,891,1000,1000,0.05
0.3,80,H4_attestation:correctness:stakes,0.057,57,1000,1000,0.05
0.3,100,H1_attestation,1.0,1000,1000,1000,0.05
0.3,100,H2_attestation:correctness,0.963,963,1000,1000,0.05
0.3,100,H4_attestation:correctness:stakes,0.061,61,1000,1000,0.05
0.3,120,H1_attestation,1.0,1000,1000,1000,0.05
0.3,120,H2_attestation:correctness,0.986,986,1000,1000,0.05
0.3,120,H4_attestation:correctness:stakes,0.078,78,1000,1000,0.05
0.3,140,H1_attestation,1.0,1000,1000,1000,0.05
0.3,140,H2_attestation:correctness,0.995,995,1000,1000,0.05
0.3,140,H4_attestation:correctness:stakes,0.108,108,1000,1000,0.05
0.3,160,H1_attestation,1.0,1000,1000,1000,0.05
0.3,160,H2_attestation:correctness,0.998,998,1000,1000,0.05
0.3,160,H4_attestation:correctness:stakes,0.101,101,1000,1000,0.05
0.3,180,H1_attestation,1.0,1000,1000,1000,0.05
0.3,180,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.3,180,H4_attestation:correctness:stakes,0.105,105,1000,1000,0.05
0.3,200,H1_attestation,1.0,1000,1000,1000,0.05
0.3,200,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.3,200,H4_attestation:correctness:stakes,0.132,132,1000,1000,0.05
0.3,240,H1_attestation,1.0,1000,1000,1000,0.05
0.3,240,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.3,240,H4_attestation:correctness:stakes,0.191,191,1000,1000,0.05
0.3,280,H1_attestation,1.0,1000,1000,1000,0.05
0.3,280,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.3,280,H4_attestation:correctness:stakes,0.21,210,1000,1000,0.05
0.3,320,H1_attestation,1.0,1000,1000,1000,0.05
0.3,320,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.3,320,H4_attestation:correctness:stakes,0.24,240,1000,1000,0.05
0.3,400,H1_attestation,1.0,1000,1000,1000,0.05
0.3,400,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.3,400,H4_attestation:correctness:stakes,0.33,330,1000,1000,0.05
0.3,500,H1_attestation,1.0,1000,1000,1000,0.05
0.3,500,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.3,500,H4_attestation:correctness:stakes,0.433,433,1000,1000,0.05
0.35,60,H1_attestation,1.0,1000,1000,1000,0.05
0.35,60,H2_attestation:correctness,0.902,902,1000,1000,0.05
0.35,60,H4_attestation:correctness:stakes,0.048,48,1000,1000,0.05
0.35,80,H1_attestation,1.0,1000,1000,1000,0.05
0.35,80,H2_attestation:correctness,0.967,967,1000,1000,0.05
0.35,80,H4_attestation:correctness:stakes,0.057,57,1000,1000,0.05
0.35,100,H1_attestation,1.0,1000,1000,1000,0.05
0.35,100,H2_attestation:correctness,0.987,987,1000,1000,0.05
0.35,100,H4_attestation:correctness:stakes,0.069,69,1000,1000,0.05
0.35,120,H1_attestation,1.0,1000,1000,1000,0.05
0.35,120,H2_attestation:correctness,0.998,998,1000,1000,0.05
0.35,120,H4_attestation:correctness:stakes,0.078,78,1000,1000,0.05
0.35,140,H1_attestation,1.0,1000,1000,1000,0.05
0.35,140,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,140,H4_attestation:correctness:stakes,0.114,114,1000,1000,0.05
0.35,160,H1_attestation,1.0,1000,1000,1000,0.05
0.35,160,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,160,H4_attestation:correctness:stakes,0.115,115,1000,1000,0.05
0.35,180,H1_attestation,1.0,1000,1000,1000,0.05
0.35,180,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,180,H4_attestation:correctness:stakes,0.138,138,1000,1000,0.05
0.35,200,H1_attestation,1.0,1000,1000,1000,0.05
0.35,200,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,200,H4_attestation:correctness:stakes,0.133,133,1000,1000,0.05
0.35,240,H1_attestation,1.0,1000,1000,1000,0.05
0.35,240,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,240,H4_attestation:correctness:stakes,0.183,183,1000,1000,0.05
0.35,280,H1_attestation,1.0,1000,1000,1000,0.05
0.35,280,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,280,H4_attestation:correctness:stakes,0.194,194,1000,1000,0.05
0.35,320,H1_attestation,1.0,1000,1000,1000,0.05
0.35,320,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,320,H4_attestation:correctness:stakes,0.264,264,1000,1000,0.05
0.35,400,H1_attestation,1.0,1000,1000,1000,0.05
0.35,400,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,400,H4_attestation:correctness:stakes,0.333,333,1000,1000,0.05
0.35,500,H1_attestation,1.0,1000,1000,1000,0.05
0.35,500,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,500,H4_attestation:correctness:stakes,0.391,391,1000,1000,0.05
0.4,60,H1_attestation,1.0,1000,1000,1000,0.05
0.4,60,H2_attestation:correctness,0.972,972,1000,1000,0.05
0.4,60,H4_attestation:correctness:stakes,0.038,38,1000,1000,0.05
0.4,80,H1_attestation,1.0,1000,1000,1000,0.05
0.4,80,H2_attestation:correctness,0.993,993,1000,1000,0.05
0.4,80,H4_attestation:correctness:stakes,0.05,50,1000,1000,0.05
0.4,100,H1_attestation,1.0,1000,1000,1000,0.05
0.4,100,H2_attestation:correctness,0.999,999,1000,1000,0.05
0.4,100,H4_attestation:correctness:stakes,0.072,72,1000,1000,0.05
0.4,120,H1_attestation,1.0,1000,1000,1000,0.05
