model,term,coef,std_err,z,p_value
trust_main,Intercept,3.919673539518891,0.1119008728653614,35.02808726286723,8.408023415080809e-269
trust_main,att_code,0.4188144329896905,0.047601498407940784,8.79834557728596,1.3884789905818318e-18
trust_main,corr_code,0.14432989690721648,0.07773292139424046,1.8567409318789665,0.06334802104190286
trust_main,stakes_code,-0.3814432989690719,0.07773292139424046,-4.907101034251552,9.243242409524456e-07
trust_main,Group Var,0.9717499172494161,,,
trust_main,stem Var,1.0142389435075159,,,
reliance_main_LMM,Intercept,2.027491408934706,0.027162026259534223,74.64433579299079,0.0
reliance_main_LMM,att_code,0.10824742268041165,0.017542799630155096,6.170475919609796,6.808474449338325e-10
reliance_main_LMM,corr_code,0.030927835051546358,0.028647271835843653,1.0796083909410616,0.2803166033097779
reliance_main_LMM,stakes_code,-0.24742268041237137,0.028647271835843653,-8.636867127528511,5.7775515412641235e-18
reliance_main_LMM,Group Var,0.2341461334808926,,,
reliance_main_LMM,stem Var,1.563680606442668,,,
consequence_main,Intercept,3.2345360824742166,0.06150289967836412,52.59160298765689,0.0
consequence_main,att_code,-0.007731958762884613,0.036623614187110985,-0.21111949037530367,0.8327940318631254
consequence_main,corr_code,0.1958762886597942,0.05980611152998469,3.275188499114989,0.0010559149207350783
consequence_main,stakes_code,1.46048109965636,0.05980611152998469,24.420265124980176,1.0419544410035647e-131
consequence_main,Group Var,0.35148230272144726,,,
consequence_main,stem Var,1.4377574945196274,,,
trust_attXcorr,Intercept,3.919673539518916,0.11189780093311351,35.02904888954776,8.129298258050554e-269
trust_attXcorr,att_code,0.41881443298969,0.047594288692686566,8.799678375150208,1.372088185878106e-18
trust_attXcorr,corr_code,0.19845360824742228,0.12288792498757536,1.614915446472768,0.10632900673694973
trust_attXcorr,stakes_code,-0.3814432989690726,0.0777211479785315,-4.907844375567338,9.20828743851761e-07
trust_attXcorr,att_code:corr_code,-0.05412371134020592,0.09518857738537306,-0.568594602702012,0.5696312884641213
trust_attXcorr,Group Var,0.9720271063905463,,,
trust_attXcorr,stem Var,1.0140981085026048,,,
