att_x_corr,N,hypothesis,power,n_significant,n_valid,n_sims,alpha
0.2,80,H4_attestation:correctness:stakes,0.069,69,1000,1000,0.05
0.2,100,H1_attestation,1.0,1000,1000,1000,0.05
0.2,100,H2_attestation:correctness,0.745,745,1000,1000,0.05
0.2,100,H4_attestation:correctness:stakes,0.072,72,1000,1000,0.05
0.2,120,H1_attestation,1.0,1000,1000,1000,0.05
0.2,120,H2_attestation:correctness,0.831,831,1000,1000,0.05
0.2,120,H4_attestation:correctness:stakes,0.093,93,1000,1000,0.05
0.2,140,H1_attestation,1.0,1000,1000,1000,0.05
0.2,140,H2_attestation:correctness,0.883,883,1000,1000,0.05
0.2,140,H4_attestation:correctness:stakes,0.107,107,1000,1000,0.05
0.2,160,H1_attestation,1.0,1000,1000,1000,0.05
0.2,160,H2_attestation:correctness,0.923,923,1000,1000,0.05
0.2,160,H4_attestation:correctness:stakes,0.118,118,1000,1000,0.05
0.2,180,H1_attestation,1.0,1000,1000,1000,0.05
0.2,180,H2_attestation:correctness,0.95,950,1000,1000,0.05
0.2,180,H4_attestation:correctness:stakes,0.152,152,1000,1000,0.05
0.2,200,H1_attestation,1.0,1000,1000,1000,0.05
0.2,200,H2_attestation:correctness,0.97,970,1000,1000,0.05
0.2,200,H4_attestation:correctness:stakes,0.187,187,1000,1000,0.05
0.2,240,H1_attestation,1.0,1000,1000,1000,0.05
0.2,240,H2_attestation:correctness,0.993,993,1000,1000,0.05
0.2,240,H4_attestation:correctness:stakes,0.23,230,1000,1000,0.05
0.2,280,H1_attestation,1.0,1000,1000,1000,0.05
0.2,280,H2_attestation:correctness,0.998,998,1000,1000,0.05
0.2,280,H4_attestation:correctness:stakes,0.29,290,1000,1000,0.05
0.2,320,H1_attestation,1.0,1000,1000,1000,0.05
0.2,320,H2_attestation:correctness,0.998,998,1000,1000,0.05
0.2,320,H4_attestation:correctness:stakes,0.352,352,1000,1000,0.05
0.2,400,H1_attestation,1.0,1000,1000,1000,0.05
0.2,400,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.2,400,H4_attestation:correctness:stakes,0.421,421,1000,1000,0.05
0.2,500,H1_attestation,1.0,1000,1000,1000,0.05
0.2,500,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.2,500,H4_attestation:correctness:stakes,0.523,523,1000,1000,0.05
0.25,60,H1_attestation,1.0,1000,1000,1000,0.05
0.25,60,H2_attestation:correctness,0.709,709,1000,1000,0.05
0.25,60,H4_attestation:correctness:stakes,0.057,57,1000,1000,0.05
0.25,80,H1_attestation,1.0,1000,1000,1000,0.05
0.25,80,H2_attestation:correctness,0.833,833,1000,1000,0.05
0.25,80,H4_attestation:correctness:stakes,0.057,57,1000,1000,0.05
0.25,100,H1_attestation,1.0,1000,1000,1000,0.05
0.25,100,H2_attestation:correctness,0.928,928,1000,1000,0.05
0.25,100,H4_attestation:correctness:stakes,0.1,100,1000,1000,0.05
0.25,120,H1_attestation,1.0,1000,1000,1000,0.05
0.25,120,H2_attestation:correctness,0.964,964,1000,1000,0.05
0.25,120,H4_attestation:correctness:stakes,0.105,105,1000,1000,0.05
0.25,140,H1_attestation,1.0,1000,1000,1000,0.05
0.25,140,H2_attestation:correctness,0.988,988,1000,1000,0.05
0.25,140,H4_attestation:correctness:stakes,0.126,126,1000,1000,0.05
0.25,160,H1_attestation,1.0,1000,1000,1000,0.05
0.25,160,H2_attestation:correctness,0.996,996,1000,1000,0.05
0.25,160,H4_attestation:correctness:stakes,0.154,154,1000,1000,0.05
0.25,180,H1_attestation,1.0,1000,1000,1000,0.05
0.25,180,H2_attestation:correctness,0.997,997,1000,1000,0.05
0.25,180,H4_attestation:correctness:stakes,0.164,164,1000,1000,0.05
0.25,200,H1_attestation,1.0,1000,1000,1000,0.05
0.25,200,H2_attestation:correctness,0.998,998,1000,1000,0.05
